# t, u(t), y(t)
# ================
1.570000000000000000e+02 2.500000000000000000e+00 1.130775158285336923e+00
1.580000000000000000e+02 2.500000000000000000e+00 1.241537469874284261e+00
1.590000000000000000e+02 -2.500000000000000000e+00 1.006688528777954339e+00
1.600000000000000000e+02 -2.500000000000000000e+00 -1.807055099700828560e+00
1.610000000000000000e+02 -2.500000000000000000e+00 -9.389563612269306025e-01
1.620000000000000000e+02 -2.500000000000000000e+00 -1.656554550890481980e+00
1.630000000000000000e+02 -2.500000000000000000e+00 -1.856101854688197106e+00
1.640000000000000000e+02 -2.500000000000000000e+00 -1.145293377601038332e+00
1.650000000000000000e+02 2.500000000000000000e+00 -2.105787280332617861e+00
1.660000000000000000e+02 2.500000000000000000e+00 1.653717880060842749e+00
1.670000000000000000e+02 2.500000000000000000e+00 1.386335746104465194e+00
1.680000000000000000e+02 2.500000000000000000e+00 1.317885304402378388e+00
1.690000000000000000e+02 2.500000000000000000e+00 1.677533281830292600e+00
1.700000000000000000e+02 2.500000000000000000e+00 7.271230055526531899e-01
1.710000000000000000e+02 2.500000000000000000e+00 2.094099948295822244e+00
1.720000000000000000e+02 -2.500000000000000000e+00 1.760328499023640303e+00
1.730000000000000000e+02 -2.500000000000000000e+00 -2.178096908314278934e+00
1.740000000000000000e+02 -2.500000000000000000e+00 -9.386163038479692355e-01
1.750000000000000000e+02 -2.500000000000000000e+00 -1.309081122158867405e+00
1.760000000000000000e+02 -2.500000000000000000e+00 -2.192421674303542289e+00
1.770000000000000000e+02 -2.500000000000000000e+00 -1.492050959489138906e+00
1.780000000000000000e+02 -2.500000000000000000e+00 -1.916516858378978894e+00
1.790000000000000000e+02 -2.500000000000000000e+00 -1.372297169234648617e+00
1.800000000000000000e+02 -2.500000000000000000e+00 -1.737533969837835812e+00
1.810000000000000000e+02 2.500000000000000000e+00 -2.004141840758686399e+00
1.820000000000000000e+02 2.500000000000000000e+00 7.899255095284477557e-01
1.830000000000000000e+02 2.500000000000000000e+00 2.060830894275416103e+00
1.840000000000000000e+02 2.500000000000000000e+00 1.648250543221962072e+00
1.850000000000000000e+02 2.500000000000000000e+00 6.337914380137104065e-01
1.860000000000000000e+02 2.500000000000000000e+00 1.340418092716735288e+00
1.870000000000000000e+02 2.500000000000000000e+00 7.843027339189567737e-01
1.880000000000000000e+02 -2.500000000000000000e+00 5.188445072866638696e-01
1.890000000000000000e+02 -2.500000000000000000e+00 -1.042758732056969340e+00
1.900000000000000000e+02 -2.500000000000000000e+00 -1.333678492500340873e+00
1.910000000000000000e+02 -2.500000000000000000e+00 -1.308994583431677405e+00
1.920000000000000000e+02 -2.500000000000000000e+00 -2.140906363770204379e+00
1.930000000000000000e+02 -2.500000000000000000e+00 -1.110406396270713802e+00
1.940000000000000000e+02 -2.500000000000000000e+00 -1.436968996567424162e+00
1.950000000000000000e+02 -2.500000000000000000e+00 -1.055465286367930577e+00
1.960000000000000000e+02 2.500000000000000000e+00 -2.429308171826121132e+00
